nationality,residence_country,permit_type,permit_months_remaining,destination_country,visa_purpose,other_visas,countries_visited,prior_rejection,outcome,rejection_reason,embassy_country,source
Indian,UAE,RAKEZ Work Visa,,UAE,Residence,UAE,,No,Rejected,CID rejection no reason given,,r/visarejections
Indian,India,None,,UAE,Work,None,,Yes,Rejected,Karnataka passport pattern of rejections,,r/visarejections
Pakistani,UK,UK Spouse Visa,,Saudi Arabia,Tourist/Visit,UK,,No,Rejected,Unknown despite UK visa qualifying,,r/visarejections
Bangladeshi,South Korea,Long Term Resident,,Philippines,Tourist/Visit,None,4,No,Rejected,"AI edited photo, translation issues, document format",,r/visarejections
Indian,USA,F1 Student Visa,,United States,Spouse/Family,US,,No,Rejected,214b insufficient ties to home country,,r/visarejections
Indian,India,None,,United States,Tourist/Visit,None,0,No,Rejected,214b never travelled outside India,,r/visarejections
,USA,F1 Student,,United States,Spouse/Family,US,,Yes,Rejected,"214b ties to home country, B1B2 also revoked",,r/visarejections
,,,,Spain,Student,None,,No,Rejected,Insufficient information in invitation letter,Spain,r/visarejections
Indian,UAE,Work Visa,,UAE,Spouse/Family,UAE,,Yes,Rejected,Salary data mismatch MOHRE vs GDRFA systems,,r/visarejections
Indian,India,None,,Netherlands,Tourist/Visit,None,,No,Rejected,"Embassy delayed 44 days, dates expired, lost non-refundable bookings",Netherlands,r/SchengenVisa
,USA,,,France,Tourist/Visit,US,,No,Approved,,France,r/SchengenVisa
Indian,India,None,,Hungary,Tourist/Visit,None,,No,Approved,,Hungary,r/SchengenVisa
,,,,Poland,Tourist/Visit,None,,No,Rejected,Schengen wide ban issued,Poland,r/SchengenVisa
Indian,UK,UK Work Visa,,Italy,Tourist/Visit,UK,,No,Approved,,Italy,r/SchengenVisa
Indian,India,None,,France,Tourist/Visit,US|UK|Canada,10,No,Approved,,France,r/SchengenVisa
Russian,UAE,UAE Residence 3yr+,,Croatia,Tourist/Visit,US|UK|Schengen|UAE,50,No,Approved,,Croatia,r/SchengenVisa
Russian,UAE,UAE Residence 3yr+,,France,Tourist/Visit,US|UK|Schengen|UAE,50,No,Approved,,France,r/SchengenVisa
,UK,UK Residence,,Spain,Tourist/Visit,UK,,No,Approved,,Spain,r/SchengenVisa
Indian,India,None,,Switzerland,Tourist/Visit,None,,No,Approved,,Switzerland,r/SchengenVisa
Indian,India,None,,United States,Tourist/Visit,None,,No,Approved,,,r/SchengenVisa
Indian,India,None,,Spain,Tourist/Visit,None,1,No,Approved,,Spain,r/SchengenVisa
,,,,United States,Tourist/Visit,Schengen,,No,Approved,,,r/SchengenVisa
Indian,India,None,,France,Tourist/Visit,US|UK|Canada,10,No,Approved,,France,r/SchengenVisa
Indian,UAE,UAE Residence,,Netherlands,Tourist/Visit,UAE,,No,Approved,,Netherlands,r/SchengenVisa
Indian,India,None,,Italy,Student,None,,No,Approved,,Italy,r/SchengenVisa
Indian,India,None,,Czechia,Tourist/Visit,Schengen,,No,Approved,,Czechia,r/SchengenVisa
Indian,India,None,,France,Tourist/Visit,None,,No,Approved,,France,r/SchengenVisa
Indian,India,None,,France,Tourist/Visit,None,0,No,Approved,,France,r/SchengenVisa
Indian,India,None,,France,Tourist/Visit,US|UK|Canada,15,No,Approved,,France,r/SchengenVisa
Sri Lankan,Sri Lanka,None,,Italy,Tourist/Visit,Schengen,3,No,Approved,,Italy,r/SchengenVisa
Indian,India,None,,Czechia,Tourist/Visit,None,,No,Approved,,Czechia,r/SchengenVisa
Unknown,United States,F1 Student Visa,,France,Student,None,,No,Approved,,France,r/SchengenVisa
Unknown,Unknown,Unknown,,France,Tourist/Visit,Schengen,,Yes,Rejected,"Reasonable doubts as to document authenticity and intent to leave before visa expiry -- 4th consecutive Schengen rejection across different countries (Croatia 2023, Italy 2025, Iceland 2026, France 2026)",France,r/SchengenVisa
Georgian,Georgia,Georgia Permanent Residence,,Portugal,Tourist/Visit,Schengen,6,No,Approved,,Portugal,r/SchengenVisa
Indian,Canada,Unknown,,Netherlands,Tourist/Visit,None,,No,Approved,,Netherlands,r/SchengenVisa
Indian,India,None,,Spain,Tourist/Visit,Schengen,,No,Approved,,Spain,r/SchengenVisa
Ukrainian,Poland,EU Long-Term Resident Permit,,United States,Tourist/Visit,None,,Yes,Rejected,"214(b) - refused despite 7 years EU long-term residency, stable senior career (Head of Design, team of 30), and financial means; interview lasted about 3 minutes with minimal questions; this was the 2nd refusal (1st was in 2017 under very different circumstances)",,r/USVisas
Indian,India,None,,United States,Tourist/Visit,None,2,Yes,Rejected,"214(b) twice within a month; first application was as a dependent with parents, second independently; both interviews under 2 minutes with very few questions asked",,r/USVisas
British,United Kingdom,None,,United States,Tourist/Visit,None,,Yes,Rejected,"214(b) - applied for B1/B2 specifically to stay longer than the 90-day ESTA limit after an 89-day ESTA visit and only 10 days back home in between; poster believes the pattern of heavy/extended ESTA use plus applying to extend it looked suspicious and likely caused the refusal, which then also got their ESTA eligibility revoked",,r/USVisas
Filipino,Canada,Canadian Permanent Residence,,United States,Tourist/Visit,None,3,No,Approved,,,r/USVisas
Indian,United Kingdom,UK Skilled Worker Visa,,United States,Tourist/Visit,None,,No,Approved,,,r/USVisas
Indian,India,None,,United States,Tourist/Visit,None,,No,Approved,,,r/USVisas
Indian,UAE,UAE Golden Visa,,United States,Tourist/Visit,UK|Canada|Australia,6,No,Rejected,"No reason given beyond standard intent-to-return questions, despite 36 years of UAE residency, extensive travel history (Australia, UK, Europe, Malaysia, Hong Kong), a prior US visa used without issue, and current Australian and Canadian visas -- illustrates that even strong profiles can be refused under discretionary rules",,r/USVisas
Indian,India,None,,Austria,Tourist/Visit,None,,No,Approved,"Rejected for weak proof of intent to return (self-employed, single, no prior Western-country travel); approved on appeal after adding a letter from parents guaranteeing return, a net-worth/property statement, and mentioning parents in the cover letter -- none of which were listed as required documents anywhere official",Austria,cardexpert.in blog
Pakistani,Pakistan,None,,United States,Spouse/Family,None,,No,Rejected,"214(b) - failure to establish ties; applicant is a housewife with no independent income, husband (sponsor) on F1/OPT; officer did not review any of the financial or supporting documents brought",,r/visarejections
Unknown,Unknown,None,,United Kingdom,Tourist/Visit,None,,Yes,Rejected,"Refused for the 5th time; the 5th application included new evidence specifically addressing the reasons given for the 4th refusal, and was refused again anyway -- family is now considering a Pre-Action Protocol legal challenge",,r/visarejections
Indian,India,None,,United States,Tourist/Visit,None,,No,Rejected,"214(b)-style refusal with zero interview questions asked, despite owning 4 properties, rental and agricultural income, and a US-based sponsor (nephew) with 150K+ income and savings; applicant was in her 60s with no independent income of her own",,r/visarejections
Egyptian,Egypt,None,,United States,Spouse/Family,US,,Yes,Rejected,"214(b) refused twice; the first refusal also triggered revocation of her existing valid B1/B2 tourist visa; second interview consisted of only 3 basic questions with no documents reviewed despite bringing an updated I-20, financial records and a university support letter",,r/visarejections
Pakistani,Pakistan,None,,United States,Student,None,0,No,Rejected,"214(b), marked as failure to qualify for reasons other than failure to show ties -- despite a strong financial sponsor profile (father, roughly 100K+/year income) and multiple university scholarship offers, had no prior international travel and no US relatives",,r/visarejections
Unknown,Unknown,Unknown,,Canada,Student,None,,No,Rejected,IRCC R216(1)(b) - officer not satisfied applicant would leave Canada at the end of the intended stay; reapplying for a different program at a different institution,,r/visarejections
Norwegian,United Kingdom,,,United States,Tourist/Visit,US,,Yes,Rejected,"214(b) - insufficient ties to the UK despite a new job starting, a small business started this year, a 12-month lease, and family in the UK. Status flipped from 'Approved' to 'Refused' after additional administrative-processing screening, following a 2025 ESTA overstay and two earlier B1/B2 refusals in Oct 2025. Illustrates that CEAC's 'Approved' status is not final - a case can still be refused in a later review stage even after verbal/system approval.",,VisaJourney
Indian,,None,,United States,Tourist/Visit,None,,Yes,Rejected,"214(b) presumed immigrant intent - despite 2 years of stable employment, filed income tax returns, and personal assets in India, denied for the second time (Feb 2026) for a sibling's US wedding trip; officer only asked about travel plans before refusing. Forum consensus: unmarried women who are siblings of an already-immigrating/approved family member face extra suspicion of intent to stay.",,VisaJourney
British,United Kingdom,None,,United States,Tourist/Visit,None,,No,Rejected,"212(a)(2)(A) crime involving moral turpitude (an old juvenile-era burglary/theft TIC believed to qualify for the petty-offense exception) plus a 214(b) stacked on top; officer barely asked about ties despite 40 years in the same home. A 'Taken Into Consideration' (TIC) offense can count as an uncharged admission that defeats the petty-offense exception, and 214(b) is often added automatically to criminal-inadmissibility refusals to block the waiver route.",,VisaJourney
Serbian,Serbia,None,,United States,Tourist/Visit,None,,No,Rejected,"214(b) - presumed immigrant intent as the spouse of a US citizen; despite living apart with stable local employment, an apartment owned by the US-citizen husband, and two young children in local school, the US-citizen spousal tie was read as pulling toward the US rather than the home country. Illustrates that having a USC spouse abroad can hurt, not help, a B1/B2 case.",,VisaJourney
Filipino,Philippines,None,,United States,Tourist/Visit,None,,No,Approved,"Approved despite openly admitting to the officer she owned no farmland or property tying her to the Philippines; daughter (petitioner) was a green card holder for only 2 years with no kids yet. 4-5 well-crafted follow-up questions, no red flags on background check. Suggests officers weigh the whole picture (age, health, honesty, family circumstances) rather than a strict ties checklist.",,VisaJourney
Filipino,Philippines,None,,United States,Tourist/Visit,None,,No,Rejected,"214(b) presumed - denied after a roughly 3-question interview lasting 2-3 minutes at the Manila embassy, no detailed reason given; family suspected the decision was effectively made from the DS-160 before the interview even started (three applicants ahead of her were also denied in quick succession).",,VisaJourney
